39139,15,30758,300449
62137,87,82531,031019
21370,88,25313,310198
96364,104,41169,120866
91126,119,77339,160304
12616,121,33953,030477
78592,144,64987,220707
59222,146,98735,070764
59998,187,18851,170541
78834,246,38075,150334
79517,284,17609,280970
12866,340,51297,030208
86603,342,29749,020851
73193,375,18977,150678
94505,461,05905,180306
50518,463,90526,030605
51803,465,52649,060590
46500,503,18916,020638
51036,543,50414,290683
12782,564,01931,170423
21704,568,15565,230193
87996,594,48781,110508
99611,596,78101,050848
34524,626,43755,180777
93459,646,41313,201110
34592,647,13138,011104
45920,648,31385,111041
59201,649,13853,110413
02764,691,68047,180248
68047,702,60457,230240
47230,705,57143,240604
23024,707,14371,060457
60774,738,55222,181226
90272,801,75931,050330
78247,857,50488,280146
14369,898,52249,280327
55777,923,60413,240689
89604,932,72312,130516
05167,939,88618,231231
18162,978,38533,220687
85592,1039,77442,070693
34824,1079,85659,201186
18354,1098,01491,130588
72434,1116,33785,220509
43422,1118,78545,050933
48321,1137,87085,231071
83212,1138,70856,310718
85685,1151,21215,250227
93272,1170,21459,041066
14598,1182,28512,100127
25845,1197,31327,270832
23544,1237,50771,040113
50771,1248,76683,270446
67175,1267,95067,170899
04459,1301,11925,120669
43353,1325,54670,250324
73370,1353,74929,160286
69325,1391,32952,200832
76831,1442,43627,141060
31141,1445,27756,060436
56134,1459,00849,200700
22515,1556,35770,151085
40416,1573,71692,300981
27993,1624,51440,270758
63897,1646,66870,230316
75588,1698,70557,041294
55774,1711,20454,251092
25109,1716,54649,220454
03597,1735,59786,230100
35972,1736,97861,301005
97230,1738,86131,100597
94720,1771,24076,271206
72027,1773,07662,120624
71206,1777,26083,240766
40766,1783,68783,260830
95008,1813,91072,281099
34813,1852,20102,241199
41199,1858,89233,201021
11992,1859,92334,010218
64405,1892,99441,190314
94336,1916,88368,080901
33608,1918,36860,090188
67158,1936,42764,210169
18931,2008,05519,170788
69278,2139,61315,040779
07353,2187,24594,160738
71532,2212,78105,260145
22435,2235,96177,300415
97263,2276,21614,220706
26322,2278,61421,070621
18486,2304,96337,110537
44529,2323,75315,240241
98865,2364,13158,100931
89397,2379,47659,210303
39721,2381,65996,030347
61555,2449,48878,010711
55501,2451,87873,071148
64989,2490,57369,240683
15849,2682,78180,130324
32478,2690,90048,180454
37065,2712,73384,151095
38465,2725,78572,280493
25646,2740,88257,291156
16654,2801,94224,271133
33942,2810,04781,241085
90377,2851,96682,290736
94944,2870,20448,170919
06583,2886,66652,270763
36665,2896,13555,201054
66652,2897,35552,010541
26238,2912,92956,270490
27712,2931,02269,171049
60069,2989,77607,020167
27510,3038,34425,170579
30872,3062,22887,230148
91379,3179,10799,180701
37918,3181,79915,070110
91807,3183,91550,011079
18070,3184,15508,110799
99155,3193,26152,080418
82615,3203,43016,290874
48397,3229,08018,260303
39726,3231,01842,030308
72603,3233,84272,030801
60303,3235,27298,080184
74895,3282,94357,050280
95050,3285,57676,280943
96167,3315,86793,050540
99177,3346,04583,301286
71962,3369,71757,240452
05616,3394,05428,271164
64054,3403,45332,280762
24533,3413,33000,291175
52717,3504,23746,130534
37463,3516,22445,300138
35098,3588,63948,030888
95017,3747,30456,221072
50172,3748,04568,210723
22107,3752,89070,230456
45689,3760,15551,070265
06813,3782,23755,180298
67983,3840,61595,100283
82845,3871,82519,050815
15825,3880,94606,190254
99483,4009,06117,080842
80842,4015,22149,061177
82579,4089,74404,120406
57912,4091,40497,040674
60468,4157,35187,310579
88555,4187,03537,150326
51503,4191,78350,260353
36373,4275,55440,281162
23782,4316,07126,260107
78226,4318,12690,010707
22601,4320,69042,070712
60107,4322,04226,071269
69851,4365,67236,230943
56330,4382,72152,240654
24169,4405,74301,170405
16917,4407,30120,040574
40574,4413,50680,301200
74301,4416,80053,200506
30120,4418,05379,050680
54365,4476,16875,240404
36524,4478,87523,040416
16875,4487,64669,230214
69248,4501,70440,090196
87255,4529,24208,040129
48866,4680,74607,020756
07777,4717,43444,201061
77772,4718,34445,010614
34445,4729,20508,100631
10063,4734,25244,120508
06312,4736,24481,050825
54915,4764,65096,280197
21978,4881,19691,111007
97811,4883,69136,100719
89623,4942,12187,290838
19671,4986,52964,160155
52964,4997,72901,181234
12347,5004,60478,290167
17742,5048,44347,191277
62036,5079,65171,260824
90673,5137,70571,240528
05711,5149,89864,160876
82558,5194,00504,150735
07350,5201,74635,050424
81779,5219,74022,290151
52538,5269,69450,250264
73726,5307,06636,230870
11773,5395,42510,021038
17730,5396,25104,210384
10384,5402,72956,251041
99359,5423,97522,301120
93593,5424,75229,011209
59301,5426,22952,120975
95810,5453,24161,220331
69369,5471,90168,130957
47349,5519,02363,210417
92104,5523,33961,170236
48376,5583,93589,030114
83760,5584,35893,301149
18830,5607,50299,300471
30047,5612,52775,150299
29729,5644,20967,300724
80776,5666,10791,141111
77614,5668,79155,111110
76141,5669,91559,111107
61411,5670,15597,111079
14111,5671,55975,110791
90713,5734,51539,201137
90929,5764,91967,260629
47329,5822,28881,240675
43496,5849,30720,010860
01086,5854,19362,030720
88399,5889,55550,120359
50652,5903,03501,090765
80374,5946,73959,190983
84682,6079,14273,041113
89106,6096,30118,270274
70274,6102,51815,301188
16326,6143,17671,291267
38397,6159,11943,121168
17513,6192,63593,240876
93177,6206,30011,010279
10279,6212,86223,300114
62232,6224,73164,231111
23223,6226,16467,111173
46735,6239,46190,270845
84546,6247,53493,190207
54619,6249,49339,020753
52245,6275,38025,210462
69170,6311,97844,040474
44007,6325,24769,240467
66934,6391,34416,020720
20344,6400,99398,160873
66148,6431,42332,090178
49905,6469,43565,150717
47931,6496,32244,020668
12841,6641,05085,120548
20548,6647,34461,050855
58259,6669,30926,220862
22086,6674,50973,230926
83934,6700,04860,080585
86077,6713,67500,080337
93407,6754,71690,190258
37152,6798,94675,120450
44617,6818,42095,131046
75132,6841,76445,100794
17938,6970,58960,150389
95896,6980,35108,010258
51976,7066,35494,091036
34006,7090,96017,270828
39295,7267,41117,180866
74655,7321,32492,251268
32342,7414,21949,280663
93666,7444,24943,200453
71600,7462,15828,160806
60016,7464,82883,080615
82883,7475,06088,200958
00958,7481,90015,060885
07911,7527,05282,260744
19696,7547,11967,240409
69624,7549,96786,040911
62404,7551,78667,091196
31887,7598,26589,130763
26589,7609,45581,150896
66854,7652,29747,201089
68542,7653,97477,010892
94188,7706,17845,311098
41883,7707,78458,110981
65560,7723,92236,260703
56026,7725,23669,070392
48198,7747,17639,200305
19820,7749,63919,030517
39194,7761,10201,191086
10861,7768,94968,020168
82049,7784,32798,080368
99274,7812,92512,260148
01489,7819,88850,251229
98885,7829,24784,021081
88850,7830,47842,210812
85021,7832,84238,081247
99043,7885,17635,280637
14593,7903,77942,300897
13598,7942,27529,141159
78637,7970,57890,160157
44417,8028,26138,300341
68167,8114,55493,080855
55493,8125,19034,230576
30576,8131,34155,190348
14464,8148,99413,061168
56940,8186,71707,091158
11587,8193,18576,170731
79546,8211,56642,150736
78299,8248,28799,171112
29917,8250,79985,111228
94651,8270,78371,220705
65122,8272,37131,070578
57837,8280,81937,131284
79485,8300,02899,210118
94852,8301,28997,101180
52101,8304,97376,180289
05382,8350,44339,281044
84527,8384,68223,270399
06827,8436,82184,160245
87194,8455,13515,190290
94190,8458,15521,290135
03937,8496,51706,060790
07905,8503,49770,170695
81285,8654,08028,141177
41177,8660,23430,080288
68483,8756,02493,050864
50069,8775,81488,250406
06925,8777,48800,040681
35545,8797,19342,310885
13441,8818,15918,290489
91474,8843,47664,040389
78079,8870,86469,260700
53026,8914,50226,141006
02614,8916,22605,100650
06502,8923,72365,260555
90568,8959,94942,150937
43779,9002,58998,071238
77438,9020,23259,160590
00272,9043,50511,230422
23042,9048,16010,250511
04225,9050,01011,051116
50511,9054,14625,160101
51116,9056,62574,010114
11160,9057,25746,101146
49492,9217,20050,170796
70796,9223,47948,200509
79620,9225,94871,050947
